aantal banen(x 1000);corop;2012;2030_min;2030_max;2050_min;2050_max
17;Utrecht;637;641;728;627;791
19;Alkmaar en omgeving;96;92;100;82;108
20;IJmond;74;74;80;68;83
21;Agglomeratie Haarlem;87;87;92;84;92
22;Zaanstreek;58;61;66;60;69
23;Groot-Amsterdam;780;809;902;785;995
24;Het Gooi en Vechtstreek;112;107;114;97;113
25;Agglomeratie Leiden en Bollenstreek;171;181;196;179;215
26;Agglomeratie 's-Gravenhage;388;403;437;399;450
27;Delft en Westland;105;112;123;115;138
28;Oost-Zuid-Holland;137;141;155;139;175
29;Groot-Rijnmond;627;636;702;622;752
30;Zuidoost-Zuid-Holland;170;172;189;160;206
